"Freq [GHz]","dB(S(1,1)) [] - n='5mm'","dB(S(1,1)) [] - n='6mm'","dB(S(1,1)) [] - n='7mm'","dB(S(1,1)) [] - n='8mm'","dB(S(1,1)) [] - n='9mm'","dB(S(1,1)) [] - n='10mm'","dB(S(1,1)) [] - n='11mm'","dB(S(1,1)) [] - n='12mm'","dB(S(1,1)) [] - n='13mm'","dB(S(1,1)) [] - n='14mm'","dB(S(1,1)) [] - n='15mm'"
3,-0.00216271406924456,-0.00571219672108508,-0.0144581106940911,-0.0306066046056558,-0.0611685064363756,-0.106705283256819,-0.187665996981492,-0.285439758890905,-0.403684241126242,-0.53324570681554,-0.616595836710055
3.01002506265664,-0.00217748636740893,-0.0057537967459359,-0.0147033945199487,-0.0310939133562293,-0.0622017955175634,-0.108290142099935,-0.189385384735252,-0.286281313569157,-0.407729569146839,-0.539967202291931,-0.628919643149213
3.02005012531328,-0.00219312741518912,-0.00579863043327548,-0.014953484442815,-0.0315932371802487,-0.0632602145688657,-0.109927724723347,-0.19121237137152,-0.28736574089749,-0.412035659716263,-0.54696138360556,-0.641474251041642
3.03007518796993,-0.00220963905803237,-0.00584670667403995,-0.0152084064303423,-0.0321046958820027,-0.0643440051233351,-0.11161869530505,-0.19314852086437,-0.288695555356123,-0.416605600356655,-0.554233151946969,-0.654262803732529
3.04010025062657,-0.00222702314834587,-0.00589803442111136,-0.015468186711852,-0.0326284109462514,-0.0654534107025309,-0.113363727803337,-0.195195417306278,-0.29027325134828,-0.421442488584902,-0.561787384424617,-0.667288418916591
3.05012531328321,-0.0022452815470796,-0.00595262269501339,-0.0157328518114706,-0.0331645055908884,-0.0665886768286099,-0.115163506270523,-0.197354665276181,-0.292101302424769,-0.426549429284523,-0.569628928717244,-0.680554184135293
3.06015037593985,-0.00226441612536903,-0.00601048058981614,-0.0160024285840826,-0.0337131048212212,-0.0677500510345315,-0.117018725185751,-0.199627890215265,-0.294182160513232,-0.431929531954667,-0.577762597491985,-0.694063152069249
3.07017543859649,-0.00228442876621262,-0.00607161727921438,-0.016276944254363,-0.0342743354859361,-0.068937782872305,-0.118930089809008,-0.20201673881051,-0.296518255151649,-0.437585907833191,-0.586193162585889,-0.707818335622831
3.08020050125313,-0.002305321366211,-0.00613604202283722,-0.0165564264590733,-0.034848326334744,-0.0701521239190702,-0.120898316558984,-0.204522879386044,-0.299111992725593,-0.443521666891,-0.594925348948946,-0.721822702798402
3.09022556390977,-0.00232709583735842,-0.00620376417274293,-0.0168409032929396,-0.0354352080778825,-0.0713933277809279,-0.122924133417832,-0.207148002302352,-0.301965755708654,-0.449739914694815,-0.6039638283472,-0.736079171357975
3.10025062656642,-0.00234975410888236,-0.00627479318014821,-0.0171304033583648,-0.0360351134473473,-0.0726616500943911,-0.125008280366313,-0.209893820363354,-0.305081901905341,-0.456243749135728,-0.6133132128251,-0.750590603270571
3.11027568922306,-0.00237329812914405,-0.00634913860237259,-0.0174249558192413,-0.0366481772601148,-0.0739573485253419,-0.127151509853685,-0.212762069231305,-0.30846276369562,-0.463036257020923,-0.622978047926767,-0.765359798944088
3.1203007518797,-0.00239772986758917,-0.00642681011000306,-0.0177245904592547,-0.0372745364832209,-0.0752806827653861,-0.129354587307286,-0.215754507849557,-0.312110647280182,-0.470120510526137,-0.632962805676571,-0.780389491240998
3.13032581453634,-0.00242305131676709,-0.00650781749431151,-0.0180293377449048,-0.0379143303009273,-0.0766319145255245,-0.131618291687893,-0.218872918873053,-0.316027831925429,-0.477499563506599,-0.643271877319938,-0.79568233927777
3.14035087719298,-0.00244926449439752,-0.00659217067489261,-0.0183392288937069,-0.0385677001839032,-0.0780113075271224,-0.133943416098084,-0.222119109106504,-0.320216569206985,-0.485176447664237,-0.653909565826188,-0.811240922008639
3.15037593984962,-0.00247637144551143,-0.00667987970756048,-0.0186542959478679,-0.039234789960569,-0.0794191274901019,-0.136330768452362,-0.225494909950129,-0.324679082250498,-0.493154168569272,-0.664880078155778,-0.827067731594933
3.16040100250627,-0.00250437424464419,-0.0067709547924938,-0.0189745718538576,-0.0399157458906571,-0.0808556421184242,-0.138781172219628,-0.229002177852746,-0.329417564968361,-0.501435701534389,-0.676187517295265,-0.843165166561994
